
Rojo,,
,,
Agrupaciones,Centro,Claustro
Lista 1 Aule,,
Lista 3 Franja Morada,,
Lista 10 Frente Independiente y de Lucha en Psicología (FILPSI),,,
Lista 13 Ya basta-Las Rojas-Nuevo MAS + Indep,,
Lista 22 Frente de estudiantes por Psico,,
Blancos,,
Nulos,,
Observados,,	 
TOTAL,,
